sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48
YKL164C	0.831276	1.033227	0.577723	0.869307	1.507983	0.859927	1.860406	2.335384	1.925833	1.860406	2.217099	2.1122	-0.272765	-1.075393	-1.867705	-1.357251	-0.770261	-0.258262	0.264415	0.914259	1.306367	1.092544	-0.388448	-0.669077	0.678016	0.907566	0.641758	1.355584	1.195862	1.043569	1.400749	0.954612	1.532017	1.448563	2.657205	1.160042	-0.036024	-1.003039	-1.385994	-0.835699	-0.906266	0.229468	0.402478	1.113627	0.936782	0.996974	-0.026364	-0.322025
YOR025W	1.474821	1.400749	0.869307	0.990129	1.287663	1.355584	0.936782	0.382116	-0.994651	-0.939004	-1.978077	-2.173676	-1.29921	-1.040627	-0.64347	-0.193354	0.087725	0.370027	0.518971	-0.069352	-0.651805	-1.498844	-0.678152	-1.083785	0.820298	1.306367	1.065574	1.022223	1.160042	1.222245	1.074287	0.291111	-0.626833	-1.385994	-2.173676	-1.773947	-1.385994	-1.050754	-0.757753	-0.08617	0.335566	0.733441	0.593735	-0.023202	-0.73944	-0.962604	-0.664719	-1.174979
YDR170W-A	-0.675966	-0.71805	1.271085	-0.396077	-0.251153	-0.893716	-0.826808	-0.567715	-1.257555	-0.360714	-1.02083	-0.413527	0.569083	-0.682763	-0.504607	-0.533346	-1.10353	-1.357251	-0.237916	-0.736412	0.114892	2.217099	2.335384	2.01199	1.37943	-0.68024	0.250698	-0.336263	-0.431969	-1.29921	-0.715003	-0.5394	-0.406761	-0.632918	-1.069046	-0.425667	0.854054	-0.239103	0.119901	-0.352615	-0.191684	-0.385008	1.34023	-0.48918	1.667005	2.217099	2.335384	1.925833
YBR158W	-0.736412	0.961076	1.563192	2.496404	1.860406	2.217099	2.1122	2.217099	2.217099	2.496404	2.335384	2.217099	1.34023	0.086929	-0.770261	-0.76317	-0.216828	0.155893	0.27912	0.503016	1.183097	1.667005	1.183097	0.798244	-0.880262	0.598389	1.860406	1.925833	2.1122	2.335384	2.217099	2.1122	2.217099	2.217099	2.1122	2.1122	1.195862	0.262426	-0.469188	-0.741783	-0.428627	0.068197	0.329571	1.183097	0.798244	1.563192	0.954612	1.00471
YBR010W	1.860406	1.799361	1.34023	1.355584	0.150457	-0.557682	-0.865021	-0.912563	-0.376999	0.08736	0.831276	1.183097	1.593395	2.217099	1.799361	1.101901	-0.246235	-0.900773	-0.97819	-0.691667	-0.256683	0.370027	0.397616	0.589236	1.101901	2.01199	1.799361	1.448563	0.19316	-0.580738	-1.174979	-0.748115	-0.414873	0.317077	1.08305	1.507983	1.593395	2.217099	2.217099	1.160042	-0.204829	-0.918208	-1.003039	-0.726793	-0.446456	0.235049	0.417731	0.707672
YJL159W	0.386801	-0.361816	-0.19606	0.062933	0.773064	1.171638	1.667005	2.01199	2.335384	2.1122	2.01199	1.033227	0.063879	-0.805946	-0.962604	-1.092723	-0.370461	0.196217	0.620889	1.092544	1.424928	1.074287	0.598389	0.189474	1.065574	-0.457389	-0.418448	-0.160101	1.183097	1.271085	2.01199	1.758552	2.335384	2.1122	2.01199	1.074287	0.041577	-0.97819	-1.29921	-1.060476	-0.671126	-0.017134	0.343424	0.556165	1.507983	1.101901	0.603725	0.040095
YGR108W	1.925833	1.448563	1.667005	1.160042	1.424928	1.860406	1.250893	0.188678	-0.630653	-0.835699	-1.773947	-1.147233	-0.73944	-0.493432	0.107644	0.544122	1.171638	1.033227	0.794724	0.282899	-0.418448	-0.5394	-0.444995	-0.386593	1.222245	1.860406	1.620184	1.507983	1.424928	1.355584	1.171638	0.306162	-0.346209	-1.203153	-1.334105	-1.235094	-0.70085	-0.34139	0.099859	0.545334	1.448563	1.271085	0.794724	0.297256	-0.513579	-0.766297	-0.515838	-0.463543
YBR089W	1.287663	1.234996	-0.330486	-0.810169	-1.334105	-1.537934	-0.53575	-0.325769	0.600351	1.306367	1.563192	2.01199	1.860406	1.207415	-0.011498	-0.854538	-1.075393	-0.939004	-0.39865	0.059635	0.518971	0.489276	0.596586	0.754125	0.864306	1.37943	-0.434509	-1.003039	-1.385994	-1.235094	-0.791436	-0.452188	0.465692	1.222245	1.714185	2.01199	1.758552	1.123481	0.03051	-0.635083	-0.813838	-0.645709	-0.143902	-0.003801	0.407408	0.844295	0.464296	1.271085
YNL058C	0.382116	0.202984	0.582481	0.914259	1.758552	1.563192	1.37943	1.355584	0.968228	0.74174	-0.522913	-0.702969	-0.944539	-1.235094	-0.555094	-0.558934	0.454545	0.794724	2.1122	1.620184	1.065574	-1.257555	-0.75406	-0.86981	0.522287	0.226476	-0.003425	1.134473	1.271085	2.01199	1.474821	1.250893	1.054135	0.499576	-0.541665	-0.831188	-0.773787	-0.957401	-0.630653	0.066902	0.359715	1.306367	2.335384	1.474821	0.815615	-0.160584	-0.780045	-1.317083
YPL256C	1.324023	1.758552	0.368808	-0.589088	-0.849945	-0.64798	-0.383914	-0.366361	0.581071	0.761667	1.222245	1.925833	2.217099	1.925833	0.192937	-0.603948	-0.865021	-1.111863	-1.050754	-0.592391	-0.346717	0.576095	0.790849	0.641758	1.113627	1.758552	0.504336	-0.733734	-0.912563	-0.736412	-0.459218	-0.079499	0.473492	0.831276	1.355584	1.799361	1.925833	1.758552	0.251725	-0.860636	-0.925195	-0.931355	-0.944539	-0.708921	-0.210186	0.619177	0.733441	1.033227
YPR149W	1.532017	1.620184	0.968228	1.400749	1.271085	1.424928	1.714185	1.092544	0.694223	0.395904	-0.385448	-0.918208	-0.900773	-0.64347	-0.051332	0.572164	1.022223	1.925833	1.160042	1.054135	0.406701	-1.031279	-1.203153	-1.163185	0.859927	1.620184	1.08305	1.37943	1.532017	1.758552	1.424928	1.010631	0.608359	0.172506	-0.445729	-0.844434	-0.880262	-0.8179	-0.218577	0.58589	1.234996	1.860406	1.593395	0.672439	0.276367	-0.71805	-1.003039	-1.203153
YDR055W	0.196657	-0.682763	-0.550115	-0.342797	0.240326	0.730311	1.074287	1.271085	1.532017	1.474821	1.758552	1.287663	0.038398	-1.10353	-1.498844	-1.317083	-0.791436	-0.030252	0.617387	0.815615	1.37943	0.831276	0.122742	-0.660447	0.529637	-0.673354	-0.592391	-0.324158	0.313716	0.884428	1.134473	1.34023	1.507983	1.667005	1.563192	1.474821	0.090944	-1.317083	-1.978077	-1.235094	-0.994651	-0.225405	0.311682	1.123481	1.022223	1.065574	-0.100563	-0.720796
YJL157C	-1.147233	-0.431969	0.74777	1.101901	1.714185	2.01199	2.217099	1.860406	2.01199	1.507983	1.424928	0.889622	0.318753	-0.338806	-0.409366	-0.060047	0.197759	1.00471	1.033227	1.714185	1.860406	0.606742	-0.039702	-0.509034	-1.010338	-0.319738	1.101901	1.222245	1.714185	2.1122	1.925833	1.925833	1.860406	1.860406	1.474821	0.914259	0.23387	-0.424926	-0.720796	-0.511184	0.055731	0.840407	1.400749	2.496404	1.250893	0.549099	-0.114987	-0.603948
YEL069C	-0.551447	-0.645709	1.092544	-0.580738	-0.552592	-1.218039	-0.608906	-0.621517	-0.900773	-0.217144	-0.900773	-0.452188	0.295089	-0.831188	-0.566246	-0.527036	-1.031279	-1.235094	-0.233032	-0.54518	0.274282	2.01199	2.01199	2.1122	1.033227	-0.76038	0.035684	-0.335242	-0.360185	-1.385994	-0.766297	-1.10353	-0.585625	-0.724019	-1.163185	-0.285898	0.790849	0.220617	0.17764	-0.132605	-0.254624	-0.095378	0.848826	-0.562131	1.532017	2.1122	2.01199	1.532017
YBL101W-A	-0.810169	-1.003039	0.74174	-0.844434	-0.621517	-1.257555	-1.060476	-1.111863	-1.537934	-0.575788	-1.031279	-0.542943	0.312377	-0.776748	-0.206544	-0.844434	-0.730118	-1.185302	-0.166997	-0.192825	0.241807	1.925833	1.620184	1.620184	1.134473	-1.111863	-0.371992	-0.630653	-0.900773	-1.689215	-1.412812	-1.083785	-0.906266	-1.003039	-1.218039	-0.514954	0.542556	-0.383507	-0.134105	-0.562131	-0.252602	-0.518281	0.437519	-0.671126	1.234996	1.925833	1.563192	1.507983
YJR092W	1.250893	1.287663	1.171638	1.37943	1.306367	1.183097	0.3982	-0.072556	-0.657929	-1.185302	-1.385994	-1.29921	-1.031279	-0.645709	-0.258924	0.264806	1.043569	1.250893	0.372435	0.268215	-0.66681	-0.684997	-0.540459	-0.900773	0.606742	1.14365	1.424928	1.593395	1.34023	1.183097	0.848826	0.246077	-0.450486	-1.317083	-1.385994	-1.537934	-1.174979	-0.733734	-0.118103	0.136194	0.936782	0.907566	0.453589	-0.084574	-0.822042	-1.174979	-0.439955	-0.860636
YPL267W	0.936782	0.664981	-1.092723	-1.867705	-2.534401	-1.075393	-0.840058	-0.574292	-0.032413	0.323335	0.944637	1.324023	1.234996	0.441182	-0.787838	-1.29921	-0.885161	-0.73944	-0.705899	-0.393385	-0.122362	0.288839	0.16134	0.199698	0.609875	0.650456	-1.125666	-2.173676	-2.534401	-1.174979	-0.900773	-0.373847	-0.028809	0.547861	1.043569	1.287663	1.183097	0.353358	-0.798791	-1.02083	-0.950018	-0.513579	-0.52541	-0.179522	-0.099648	0.014577	0.037334	0.214096
YGL032C	-1.773947	-1.867705	-2.173676	-2.534401	-0.885161	-0.600805	0.052373	0.697189	0.248565	0.465692	0.053747	0.192432	0.189862	0.158792	0.012795	-0.447192	-1.02083	-0.32764	-0.031402	1.043569	0.859927	0.181956	-0.439264	-1.585488	-1.978077	-1.773947	-2.534401	-2.534401	-1.317083	-0.264426	-0.103134	-0.107149	-0.384387	0.432998	0.41372	0.527078	0.346485	0.237683	-0.38283	-0.391642	-0.75406	-0.156346	0.421309	0.587497	0.447583	0.29427	-0.19545	-0.744593
YNL145W	-0.906266	-0.971339	-0.464271	0.048388	0.733441	1.474821	1.925833	1.563192	1.758552	1.593395	1.714185	0.990129	0.229807	-0.183348	-0.533346	-0.277637	0.158116	1.022223	0.864306	1.507983	1.925833	0.765515	-0.106923	0.075179	-1.060476	-0.950018	-0.557682	0.148187	0.996974	1.667005	1.799361	2.01199	2.1122	2.335384	1.925833	0.968228	0.39702	0.054302	-0.23518	-0.06529	0.265158	0.554519	1.00471	1.563192	1.033227	0.576095	-0.183348	-0.210186
YNL031C	1.758552	1.563192	1.448563	1.134473	0.249382	-0.191684	-0.694309	-0.702969	-0.486321	0.116449	0.840407	1.010631	1.667005	2.1122	1.593395	0.914259	0.078586	-0.773787	-0.835699	-0.555094	-0.285001	0.329571	0.377864	0.678016	1.074287	1.714185	1.507983	1.324023	0.093267	-0.423545	-0.702969	-0.375609	-0.323375	0.084339	0.925492	1.222245	1.507983	2.335384	2.1122	0.901446	-0.155302	-0.86981	-0.784028	-0.748115	-0.600805	0.335566	0.461853	0.920365
YBR092C	1.222245	0.282899	0.108855	0.085588	0.236528	0.562091	0.685504	0.982558	0.920365	0.410915	-0.476767	-1.257555	-1.537934	-1.083785	-0.436818	0.103468	0.678016	1.448563	2.217099	1.532017	1.054135	-0.195187	-0.294713	-0.641583	0.232299	0.389085	0.176023	0.005655	0.471571	0.907566	0.996974	1.123481	1.14365	0.590315	-0.414216	-1.136518	-1.537934	-1.010338	-0.66681	-0.228122	0.609875	1.222245	2.217099	2.217099	0.901446	-0.024126	-0.619326	-0.502151
YOL007C	1.234996	1.532017	0.346886	-0.617488	-1.203153	-1.060476	-1.069046	-0.791436	0.582481	0.133181	0.61343	1.195862	1.271085	1.287663	0.074166	-0.751164	-1.111863	-1.174979	-1.203153	-0.906266	-0.414873	0.678016	0.554519	0.584267	0.954612	1.593395	0.350719	-0.766297	-1.111863	-1.069046	-1.203153	-0.835699	-0.360185	0.094425	0.717441	0.936782	1.207415	1.222245	0.156128	-0.68024	-1.136518	-0.724019	-1.203153	-0.906266	-0.468039	0.710135	0.761667	0.878609
YLR042C	-1.003039	-0.599378	-0.210186	0.102735	0.255255	0.060929	-0.16761	0.609875	0.251032	-0.215389	-0.072816	0.07604	0.440411	0.401688	-0.138695	-0.885161	-1.978077	-2.173676	-1.978077	-1.867705	-2.173676	-1.10353	-0.56953	-0.912563	-0.925195	-0.641583	-0.187916	0.428122	0.206182	0.558811	0.273479	-0.177821	-0.160101	-0.044624	0.157631	0.331313	0.459123	0.122742	-0.555094	-1.010338	-2.173676	-1.978077	-2.534401	-2.173676	-1.978077	-1.069046	-0.865021	-0.787838
YDL039C	1.714185	0.990129	1.714185	4.04079	3.605198	3.605198	3.605198	3.605198	3.605198	4.04079	3.605198	3.605198	2.884677	4.04079	4.04079	4.04079	3.605198	4.04079	4.04079	4.04079	4.04079	4.04079	2.1122	4.04079	0.594983	1.250893	2.217099	2.884677	4.04079	3.605198	3.605198	3.605198	3.605198	3.605198	2.884677	3.605198	3.605198	4.04079	4.04079	4.04079	4.04079	4.04079	4.04079	4.04079	4.04079	4.04079	2.1122	4.04079
YNL102W	1.355584	1.123481	-0.116959	-0.912563	-1.111863	-1.689215	-0.75406	-0.281639	-0.530567	0.655117	1.287663	1.222245	1.37943	0.97404	0.054129	-0.826808	-1.040627	-0.971339	-0.231714	0.33791	0.359254	0.47572	0.429331	0.464905	0.62451	1.160042	-0.142543	-0.860636	-1.689215	-1.585488	-1.010338	-0.286801	0.40047	0.750628	1.160042	1.758552	1.306367	1.022223	-0.033022	-0.939004	-0.889293	-0.757753	-0.126127	0.319758	0.178647	0.697189	0.536103	0.305015
YBR088C	1.065574	1.183097	-0.322845	-0.780045	-1.083785	-1.498844	-0.473857	-0.219178	0.254321	-0.005223	1.532017	1.799361	1.758552	1.234996	0.029898	-0.583913	-0.56953	-0.687626	0.034253	0.357018	0.566832	0.281776	0.105254	0.531924	0.750628	1.065574	-0.42787	-1.031279	-1.235094	-1.125666	-0.664719	-0.211398	0.794724	1.08305	1.448563	2.217099	1.860406	1.34023	0.274282	-0.251564	-0.595581	-0.136048	0.078586	0.161121	0.322437	0.530698	0.263362	0.733441
YKR013W	-0.751164	-0.442035	-0.582466	-0.715003	-1.385994	-1.412812	-1.357251	-1.185302	-0.912563	-0.277049	-0.370461	0.304629	0.401688	0.773064	-0.203671	-1.235094	-2.173676	-2.534401	-1.867705	-1.978077	-1.257555	-0.582466	0.288561	-0.089365	0.066267	-0.417747	-0.656119	-0.944539	-0.957401	-1.462039	-1.689215	-1.978077	-1.334105	-0.662616	-0.02738	0.252402	0.664981	0.697189	-0.551447	-1.334105	-2.534401	-2.173676	-2.173676	-1.978077	-1.235094	-0.114987	-0.014424	0.141549
YBR071W	0.7127	0.492372	-0.64347	-1.235094	-1.003039	-0.377646	0.309537	0.373034	0.754125	0.807528	1.271085	1.563192	0.494051	-0.791436	-1.689215	-1.585488	-1.257555	-0.712223	-0.425667	0.144584	0.557797	0.783869	0.304629	0.085822	0.836142	0.730311	-0.617488	-0.912563	-0.971339	-0.351688	-0.023202	-0.02738	0.736231	1.101901	1.424928	1.183097	0.577723	-0.653914	-1.412812	-1.978077	-0.971339	-0.822042	-0.462575	0.227664	0.472571	0.733441	0.432289	0.130695
