sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48
YLR455W	0.057123	0.353836	0.590315	0.348358	0.159976	-0.047843	-0.12754	-0.383914	-0.54518	-0.179876	-0.530567	-0.103433	0.395355	0.330085	0.414262	0.425907	0.21826	-0.395489	-0.163763	-0.079062	-0.684997	-0.182583	-0.035654	0.489276	0.37115	0.30877	0.491233	0.611712	0.056704	-0.239933	-0.429327	-0.300763	-0.380155	-0.42188	-0.557682	0.23963	0.262092	0.408444	0.596586	0.550268	0.032724	-0.11092	-0.010348	-0.328895	-0.052589	0.058261	0.294637	0.173082
YGR113W	0.531924	0.807528	0.464905	0.244779	0.408444	-0.53248	0.030714	-0.186594	-0.28317	0.339692	0.065464	0.335052	0.397616	0.418316	0.878609	-0.083849	-0.261878	-0.519513	-0.188677	0.428814	0.097408	-0.001072	0.414945	0.596586	0.448209	0.733441	0.330481	0.187409	0.086729	-0.118103	-0.241804	-0.306801	-0.164025	-0.264773	-0.050772	0.339303	0.390819	0.190836	0.511834	0.464296	-0.096087	-0.046583	-0.110677	-0.290675	-0.111325	0.592061	0.637563	0.460893
YPL155C	0.231375	0.424323	0.265877	0.235292	0.258201	0.098257	-0.005066	-0.184388	-0.256291	-0.552592	-0.75406	-0.71805	-0.730118	-0.382057	-0.132807	0.001568	-0.060628	-0.059713	-0.02738	-0.099195	-0.213827	-0.1836	-0.170243	-0.417747	0.231751	0.432289	0.619177	0.299398	0.294637	0.180217	-0.078281	0.070321	-0.128058	-0.350372	-0.835699	-0.76317	-0.874193	-0.628649	-0.31922	-0.103134	-0.010926	0.051613	0.035063	0.007772	-0.354545	-0.046995	-0.133736	-0.310045
YDR199W	0.39021	-0.325017	-0.265565	-0.21787	0.357018	-0.087382	-0.538009	-0.509034	-0.566246	-0.75406	-0.831188	-0.265898	0.078369	-0.218577	-0.270933	-0.263733	-0.120808	0.06332	0.186558	0.098815	-0.276692	-0.530567	-0.54518	-0.31922	0.56329	0.142847	-0.068964	-0.031032	-0.120999	-0.479568	-0.357134	-0.21787	-0.310368	-0.093441	-0.359193	-0.043531	-0.143589	0.079663	0.263052	0.042535	-0.09816	-0.269217	-0.400092	-0.349318	-0.649765	-0.456696	-1.585488	-0.248846
YEL071W	-0.548552	-0.733734	-1.060476	-1.218039	-1.092723	-1.003039	-0.893716	-0.810169	-0.791436	-0.68024	-0.333903	-0.229611	-0.266505	-0.319738	-0.356157	-0.356157	-0.476767	-0.669077	-0.687626	-0.102327	-0.161214	0.046987	-0.043353	-0.202827	-0.111162	-0.698627	-1.031279	-1.203153	-1.277801	-1.083785	-1.111863	-0.70085	-0.619326	-0.73944	-0.538009	-0.392298	-0.296294	-0.353082	-0.582466	-0.542943	-0.689599	-0.662616	-0.682763	-0.402534	-0.31105	-0.073891	0.002137	-0.255312
YHR005C-A	0.788074	0.447583	0.188145	0.116932	0.577723	-0.285898	0.12437	-0.048924	0.182642	0.439412	-0.230194	-0.423545	-0.045065	-0.122717	-0.112537	-0.117886	-0.394739	-0.509034	0.178391	-0.720796	0.073152	-0.280884	0.083531	0.14723	-0.438492	0.629569	0.078369	0.133839	-0.425667	0.212052	0.059182	0.041412	-0.256959	0.103468	0.190105	-0.64798	0.360709	0.41372	-0.283888	-0.22935	-0.221592	-0.502151	0.095959	-0.86981	-0.191397	-0.394136	-0.211107	-0.185138
YGL096W	0.359715	0.048193	0.378938	0.080301	0.055731	-0.199525	-0.025949	-0.375609	-0.098976	-0.196867	-0.162221	-0.572669	0.159603	0.5142	0.249382	0.553288	0.474766	0.391304	-0.028611	-1.050754	0.435305	-0.126127	0.080982	-0.183348	0.3982	-0.037687	0.170711	-0.137615	-0.290675	-0.251153	-0.137182	-0.566246	-0.500914	-0.473857	-0.2608	-0.008045	0.399906	-0.320728	-0.238198	0.395904	0.359254	0.74491	0.139253	0.274876	-0.039702	-0.296294	-0.22935	-0.114309
YNL042W	-1.174979	-1.10353	-0.787838	-0.639393	-0.47212	-0.313742	-0.368524	-0.348906	-0.262634	-0.162995	-0.757753	-0.671126	-0.456696	-0.336718	-0.047633	-0.034704	-0.127078	-0.020787	0.079882	0.025329	0.084946	-0.062026	-0.075929	0.019976	-1.031279	-0.944539	-0.787838	-0.682763	-0.427061	-0.270587	-0.401962	-0.095378	-0.297383	-0.59083	-0.399475	-0.784028	-0.628649	-0.421252	-0.209304	-0.094531	0.007772	0.000783	0.182876	0.257793	-0.19897	0.065464	-0.052589	-0.055017
YNL015W	-0.414873	0.079004	-0.191099	-0.235846	-0.014666	-0.161001	-0.020787	0.428814	-0.057055	-0.042861	0.268516	0.39021	0.386801	-0.314105	-0.431969	-0.345536	-0.32165	-0.580738	-0.273482	-0.447192	-0.396709	-0.353082	-0.200332	0.14978	-0.098377	-0.354966	-0.401324	-0.227153	-0.309632	0.195698	0.159799	0.18715	0.334526	0.492372	0.577723	0.554519	0.374855	0.180547	-0.183075	-0.020787	-0.480592	-0.885161	-0.53248	-0.736412	-0.62501	-0.262634	-0.425667	-0.097408
YPL162C	-0.039507	0.473492	0.087538	0.750628	-0.065754	0.105037	0.667453	-0.022643	0.312022	-0.029002	0.257793	-0.035136	0.104069	0.092241	-0.406761	-0.247901	0.121661	0.254965	-0.052212	0.442722	-0.503406	0.248857	0.227664	-0.200079	0.070321	0.242465	-0.111162	0.003928	0.446001	0.082815	0.725257	-0.555094	0.650456	-0.147716	0.109565	-0.317385	-0.067652	0.360248	-0.200332	-0.555094	-0.190127	-0.323721	0.247953	-0.556612	-0.072168	0.033312	1.054135	0.070321
YBR056W	-1.050754	-0.889293	-0.893716	-0.76038	-0.5394	-0.285001	-0.180772	-0.10427	0.065464	0.031036	0.327717	0.226228	0.074166	-0.368037	-0.255987	0.066902	-0.308759	-0.165777	-0.089958	-0.05989	0.086493	-0.210496	-0.357741	-0.312355	-0.773787	-0.994651	-0.906266	-0.75406	-0.497789	-0.310708	-0.118768	0.071582	0.13092	0.107423	0.3066	0.179953	0.018497	-0.060459	-0.096299	-0.13781	-0.049685	-0.203125	-0.130745	0.069008	-0.025403	-0.307669	-0.28133	-0.453064
YHR145C	-0.530567	-0.112537	-0.382057	-0.128058	-0.092061	-0.269217	-0.439264	-0.059309	-0.029513	-0.431969	-0.528463	-0.499053	-0.912563	0.075367	-0.156112	-0.253984	0.086929	-0.191971	-0.146997	-0.748115	-1.867705	-0.251153	-0.572669	-0.259635	-0.108367	-0.221992	-0.114309	-0.296818	0.060565	-0.233032	-0.049909	-0.037122	-0.146516	-0.237916	0.020686	-0.182052	-0.116959	0.395355	-0.138079	-0.17844	0.060565	0.067086	-0.189383	-0.107659	-1.031279	-0.515838	-0.197889	-0.521928
YLR343W	0.111421	0.007223	0.216776	-0.077845	-0.263733	-0.382057	0.121854	-0.597662	-0.263006	0.012795	-0.034067	0.240701	0.650456	0.53337	1.074287	0.551558	0.044909	0.046189	-0.055017	-0.196557	0.181719	0.522287	0.283325	0.306162	0.292279	0.257157	0.172847	-0.057055	-0.204829	-0.5394	-0.400704	-0.43101	-0.022643	-0.101858	0.053323	0.363722	0.47762	0.687948	0.386801	0.444521	0.478458	0.293751	0.271916	0.282202	0.237996	0.330481	0.248263	0.854054
YOR084W	0.57067	0.756928	0.336962	-0.066019	-0.328895	-0.202068	-0.323721	-0.145885	0.070758	-0.002539	0.466614	0.61343	0.725257	0.479787	0.179422	0.056127	0.059182	-0.187916	-0.279854	-0.403932	-0.188937	-0.103825	-0.111325	-0.003425	0.657173	0.825028	0.210954	-0.013152	-0.22656	-0.316921	-0.403133	-0.289956	-0.020271	-0.038729	0.361346	0.537155	0.5142	0.420078	0.18715	0.089613	-0.145108	-0.056395	-0.522913	-0.368037	0.11078	-0.264426	-0.01858	-0.013666
YLR270W	-0.71805	-0.617488	-0.482474	-0.393385	-0.056822	0.040722	0.191587	0.440411	0.462668	0.4302	0.34212	0.324562	-0.081048	-0.014424	-0.334305	-0.200332	-0.272399	-0.15559	-0.343264	-0.280567	-0.014666	-0.185138	-0.176129	-0.409366	-0.392746	-0.460909	-0.452188	-0.419591	-0.074835	0.057289	0.412267	0.574921	0.652609	0.500623	0.516542	0.290304	-0.197629	-0.228734	-0.382057	-0.396709	-0.310708	-0.377646	-0.273126	-0.300307	-0.279475	-0.153777	-0.202317	-0.474675
YKR069W	-0.724019	-0.632918	-1.010338	-0.612522	-0.213214	-0.299377	-0.86981	-1.10353	-1.092723	-0.641583	-0.619326	-0.131896	-0.30256	-0.52541	-0.534587	-0.393385	0.031036	0.134994	-0.009554	-0.261169	-0.015256	-0.950018	-1.050754	-0.566246	-0.105401	-0.831188	-0.912563	-0.696278	-0.198135	-0.325441	-0.795125	-0.597662	-0.787838	-0.906266	-0.649765	-0.485334	-0.416513	-0.418448	-0.552592	-0.433197	0.058768	0.006242	0.069872	0.047202	-0.449645	-0.86981	-0.86981	-0.708921
YAL044C	0.105484	0.137585	-0.17844	0.093615	-0.032786	-0.108584	-0.046404	-0.05663	-0.330805	-0.138353	-0.407985	-0.52413	-0.333455	-0.396709	-0.226843	0.165713	0.117815	0.227044	-0.369527	-0.387827	-0.488354	-0.874193	-0.994651	-0.835699	-0.53575	0.123657	-0.087959	0.067456	0.048946	0.147447	-0.141208	-0.272765	-0.519513	-0.067058	-0.390975	-0.244031	-0.048722	-0.096087	0.156925	0.168062	0.048574	-0.529396	-0.247592	-0.506852	-0.163285	-0.957401	-1.10353	-0.98535
YFR035C	-0.080646	-0.269965	-0.046781	-0.223942	-0.288106	-0.392298	-0.314495	-0.925195	-0.354077	0.331816	-0.957401	0.074568	-0.444423	-0.594072	-0.595581	-0.621517	-0.560703	-0.43101	0.064524	-0.043961	-0.285517	-1.357251	-0.741783	-0.040303	-0.088525	-0.025779	-0.283527	-0.04839	-0.437718	-0.244659	-0.566246	-0.542943	-1.10353	-0.619326	-0.720796	-0.575788	-0.733734	-0.605706	-0.28317	0.040095	-0.531396	-0.203969	-0.76038	-0.499778	-0.389122	-0.944539	-1.092723	-0.582466
YLR010C	-0.250865	-0.328895	-0.364015	-0.492447	-0.132342	-0.256291	-0.302146	-0.128712	-0.585625	-0.776748	-0.19545	-0.386593	-0.081792	-0.264426	-0.266233	0.032535	-0.073672	0.246077	-0.357741	-0.098377	-0.144141	0.114396	0.182642	0.225662	-0.626833	-0.349899	-0.345536	0.00473	-0.083224	-0.314997	0.021213	-0.307669	-0.439264	-0.377646	-0.270587	-0.192523	-0.346717	0.054129	-0.235846	-0.278813	-0.32165	-0.281639	-0.212262	0.482801	-0.206268	-0.026149	1.620184	-0.118768
YJL008C	0.153178	0.126004	0.45038	0.272361	0.386801	0.381093	0.252635	0.013971	-0.006483	0.1321	0.01712	0.034253	0.067881	-0.097408	-0.036916	0.258913	0.478458	0.033787	0.307027	-0.356157	0.318351	1.022223	1.08305	0.765515	1.532017	0.069872	0.338378	0.337293	0.235931	0.211247	0.336962	0.148761	-0.0375	-0.055187	0.094038	0.136434	0.109962	0.04576	0.063488	-0.044859	-0.003801	0.010352	0.098257	-0.052992	0.820298	0.631168	0.794724	0.414945
YBL049W	-0.045527	-0.005223	-0.244659	0.216218	-0.265898	0.024289	-0.077845	0.038211	0.363268	-0.136471	0.050567	-0.231714	-0.127787	-0.460028	-0.826808	1.271085	0.307868	0.581071	0.353836	0.165713	0.232299	0.29427	0.199992	0.414262	-0.216543	-0.25028	-0.248846	-0.231714	-0.224261	0.236236	0.603725	-0.057691	-0.156346	0.407408	0.479787	0.227044	0.06511	0.300654	0.507356	0.123191	-0.445729	0.231751	0.13806	-0.500914	0.216776	0.027859	0.129756	0.069008
YKL165C	0.451121	0.432998	0.320187	0.132322	-0.36993	-0.276257	-0.341791	-0.088696	0.223903	0.354883	0.522287	0.687948	0.574921	0.617387	0.306162	0.115992	-0.336263	-0.229939	-0.300763	-0.278813	-0.225129	0.305428	0.381093	0.104069	0.441924	0.516542	0.276778	-0.100297	-0.435233	-0.406761	-0.344136	-0.207099	0.132535	0.164949	0.620889	0.61343	0.537155	0.603725	0.290304	-0.054565	-0.139513	-0.311494	-0.301786	-0.100563	-0.19925	0.157411	0.298011	0.387812
YDR011W	-0.217144	-0.192523	-0.476767	-0.420376	-0.157203	-0.232046	-0.352099	-0.466996	-0.664719	-0.671126	-0.651805	-0.733734	-0.603948	-0.71805	-0.314495	-0.68024	-0.571078	-0.776748	-1.317083	-1.357251	-1.537934	-0.639393	-0.602366	-0.950018	-0.360714	-0.160101	-0.388448	-0.547108	-0.271623	-0.302991	-0.42188	-0.437718	-0.560703	-0.860636	-0.813838	-0.791436	-0.840058	-0.510014	-0.486321	-0.59083	-0.621517	-0.840058	-1.218039	-1.136518	-1.689215	-0.628649	-0.336718	-0.684997
YBL095W	-0.00186	0.097408	-0.05867	0.126988	0.209026	-0.295036	-0.221048	-0.140025	-0.218863	-1.031279	-0.157634	-0.037687	0.136644	0.085405	0.23868	0.044142	0.384542	0.252066	-0.458296	-0.207803	-0.577489	-0.356157	-0.76038	-0.62501	-0.059713	0.160228	0.192432	0.283706	0.15919	-0.026149	-0.045308	0.009864	-0.1836	-0.147231	-0.359771	-0.417747	-0.071299	0.139489	-0.133736	0.042346	0.252982	0.113432	-0.196867	-0.213827	-0.787838	-0.649765	-0.736412	-1.075393
YPL209C	0.326782	0.29427	-0.140233	-0.371992	-0.459218	-0.38283	-0.291401	-0.605706	-0.216248	-0.335809	-0.258262	0.131147	0.071795	0.375356	0.209764	-0.296818	-0.262303	-0.390196	-0.278012	-0.399475	-0.38605	0.474766	0.820298	0.382527	0.357563	0.478458	-0.01987	-0.383507	-0.534587	-0.447882	-0.48461	-0.345156	0.028253	0.054302	-0.116323	0.336117	0.102316	0.059635	-0.081641	-0.397816	-0.626833	-0.312861	-0.442035	-0.412685	-0.159376	0.147704	0.350274	0.331816
YMR144W	0.605267	0.470414	-0.078281	-0.521928	-0.689599	-0.512498	-0.605706	-0.420376	-0.860636	-0.645709	-0.451264	-0.186594	-0.131896	0.026866	-0.072816	-0.47762	-0.134572	-0.348389	-0.231401	-0.531396	-0.748115	0.076932	0.237412	0.214393	0.504336	0.551558	-0.273482	-0.515838	-0.637021	-0.471285	-0.580738	-0.335242	-0.521928	-0.486321	-0.422747	-0.263733	-0.112286	0.048025	-0.310708	-0.464271	-0.374356	-0.227153	-0.43101	-0.443774	-0.607231	-0.094971	0.085196	-0.144933
YPL098C	-0.310368	-0.149705	-0.091863	-0.168692	0.088156	0.158792	-0.22752	-0.193085	-0.274593	-0.885161	-0.141852	-0.594072	-0.40541	-0.209857	1.195862	-0.182583	0.129993	-0.052212	-0.002696	-0.390196	-0.313742	-0.133971	-0.585625	-0.023011	-0.702969	0.033099	0.178167	0.133635	-0.0375	0.177899	-0.041871	-0.42188	-0.513579	-0.354966	0.192162	-0.527036	-0.396709	-0.114045	-0.168136	0.062749	-0.512498	0.500623	-0.503406	-0.494288	0.031737	-0.401324	-0.656119	-0.458296
YJR108W	-0.350372	0.039626	-0.276692	-0.081048	-0.042454	-0.413527	0.024921	-0.614163	0.114641	-0.035654	-0.314495	-0.086961	-0.306241	-0.327208	-0.140786	-0.218863	0.048574	0.74777	-0.051332	-0.865021	-0.220466	0.094233	0.441924	-0.391642	-0.252979	-0.283888	-0.317941	0.077306	0.203241	-0.175924	0.154896	-1.235094	-0.705899	0.152973	-0.397296	0.108083	-0.145622	-0.157634	-0.925195	0.049143	-0.177297	-0.003064	0.405826	-0.268381	0.115777	-0.047185	0.098424	-0.454038
YHR185C	-0.15964	-0.066437	0.158577	0.207702	-0.065544	-0.28317	-0.200576	0.247953	0.632955	0.446908	-0.083849	-0.375609	-0.225864	-0.143309	1.207415	-0.176852	-0.446456	-0.028809	0.243164	-0.090142	0.954612	-0.306241	0.217778	-0.426372	-0.039702	0.221257	0.155661	0.247402	0.449502	0.248263	0.164472	0.232043	-0.542943	-0.036916	0	0.132322	-0.151547	0.258536	0.17895	-0.453064	-0.234841	-0.268381	0.243772	-0.454038	0.233207	0.149998	-0.237124	-0.039507
YLR252W	-0.246235	-0.027177	-0.045527	-0.222933	0.148462	0.194618	-0.067484	0.177427	0.247107	-0.357134	0.220069	0.052373	0.009031	-1.147233	-0.136471	-0.02738	-0.061577	0.12949	-0.120137	-0.441299	-0.444423	-0.372705	-0.400092	-0.726793	-0.10427	-0.417046	-0.305501	-0.099444	0.196657	0.189862	-0.004341	0.258913	0.547861	0.066696	-0.367584	-0.109265	-0.002696	0.234744	-0.146997	0.143817	0.133181	-0.175463	-0.072168	0.111658	-0.093653	-0.221048	-1.385994	-0.56953
YLR390W	0.199992	-0.22935	-0.137416	0.189679	-0.331216	-0.249213	-0.229041	-0.01858	0.330481	0.356573	0.034442	0.505424	0.183493	0.32057	-0.027177	-0.240277	-0.22752	-0.389122	0.178647	0.162416	-0.106512	-0.447882	-0.327208	-0.022476	-0.918208	0.142376	-0.171101	0.034058	-0.095197	0.001761	0.061952	-0.380155	-0.395489	0.263733	0.362248	0.468495	0.309537	0.315574	0.081154	-0.506852	-0.577489	-1.075393	0.08624	-0.715003	0.133635	-0.37953	-0.189383	0.061694
YPR136C	0.598389	0.690777	0.719607	0.342597	0.280143	0.145089	0.431479	0.343424	0.319206	0.217082	0.056347	0.3417	0.303017	0.300654	0.078146	0.340258	0.08053	0.159005	0.215897	0.252402	0.509357	1.183097	1.424928	0.961076	1.043569	0.690777	0.790849	0.435305	0.011167	-0.02738	0.378424	0.20475	0.413049	0.343852	0.134571	0.28589	0.329167	0.256387	0.516542	0.112347	0.183955	0.379573	0.452749	0.13975	0.768677	1.171638	1.271085	0.717441
YOL122C	0.291881	0.178167	-0.084037	0.119652	-0.02558	-0.002011	-0.060628	-0.047633	-0.183075	-0.115385	-0.136471	0.055961	-0.31105	0.066105	-0.18617	-0.478614	-0.705899	-0.784028	-0.854538	-0.528463	-0.971339	0.184221	0.025594	0.128608	0.133181	-0.048722	-0.001668	0.060069	0.064524	0.073152	-0.094317	-0.256683	-0.205943	-0.314997	-0.15964	-0.469188	-0.009953	-0.026149	-0.215146	-0.784028	-0.854538	-0.71805	-0.918208	-0.912563	-0.456696	-0.028445	0.08451	-0.15355
YJR035W	-0.162775	0.032299	0.075806	-0.12479	0.527078	0.225401	0.122068	0.191353	0.090944	0.027859	0.263362	-0.039333	-0.012773	-0.280567	-0.269217	-0.144933	-1.357251	-0.075001	-0.270587	0.396379	-0.054806	-0.130003	-0.179876	-0.485334	-0.272016	-0.208363	0.014774	-0.145622	0.037573	0.094934	-0.058298	0.790849	1.160042	-0.014181	-0.292673	-0.116754	-0.315961	0.097844	0.067881	-0.064222	0.220951	-0.022247	0.244779	0.321991	0.026866	-0.168136	0.051987	-0.152211
YOR033C	0.240326	0.174718	-0.589088	-0.849945	-0.912563	-0.555094	-0.371992	-0.274593	-0.088855	-0.084189	0.166506	0.317837	0.367004	0.05314	-0.336263	-0.460028	-0.352099	-0.406761	-0.092574	-0.209304	-0.034306	-0.004217	-0.112286	0.077691	0.151208	0.099258	-0.518281	-0.675966	-1.069046	-0.619326	-0.437718	-0.29177	-0.152211	-0.050927	0.353836	0.323784	0.260511	0.028896	-0.361298	-0.579133	-0.53248	-0.359193	-0.178679	-0.022643	0.079004	-0.031624	-0.103609	0.086493
YGL062W	-0.558934	-0.696278	-1.050754	-1.163185	-1.075393	-0.939004	-0.610885	-0.390196	-0.11931	0.16134	-0.312861	0.0369	-0.01987	-0.337173	-0.173797	-0.248515	-0.354545	-0.369086	-0.231088	-0.040846	-0.439955	-0.166513	-0.345536	-0.831188	-0.388448	-0.682763	-0.950018	-1.147233	-0.97819	-0.798791	-0.538009	-0.019492	0.094425	-0.275749	0.024503	-0.193085	-0.245287	-0.224816	-0.223942	-0.355501	-0.087152	-0.373241	-0.319738	-0.209304	-0.410543	-0.249213	-0.482474	-0.8179
YBL091C-A	0.34989	0.300654	0.105254	0.234497	0.100369	0.416878	0.119464	0.239172	0.029713	-0.013875	-0.002353	0.437519	0.129993	0.433682	-0.002539	1.010631	0.324562	0.232043	-0.443774	-0.194522	-0.507838	-0.268768	-0.512498	-0.008045	-0.002011	0.284095	0.068801	0.36601	0.19435	0.697189	0.377274	-0.021139	0.016539	0.096757	0.134767	-0.040303	-0.074443	0.213157	0.330085	0.023155	-0.505856	-0.531396	0.027859	0.028896	0.315042	-1.050754	-0.024126	-0.266925
YDR179W-A	-0.052798	0.28519	-0.060813	0.010728	-0.313742	-0.235846	-0.030785	-0.542943	-0.660447	0.329571	-0.844434	-0.889293	-0.407413	-0.055017	0.309866	-0.103825	-0.266505	-0.438492	-0.150653	-0.091228	-0.73944	-0.132605	-0.239933	-0.089046	-0.5394	0.296841	0.028087	0.139253	-0.219476	-0.299377	-0.414216	-0.462575	-0.98535	-0.8179	-0.632918	-0.362322	-0.253613	0.456343	0.083531	-0.05885	-0.179522	-0.20338	-0.75406	-0.283888	-0.302991	-0.840058	-0.265565	0.017276
YDL238C	-0.423545	-0.495347	-0.185138	-0.486321	-0.031032	0.007223	-0.087152	0.352364	0.277881	-0.39865	0.422814	0.333635	0.453589	0.277881	-0.216543	0.140244	-0.165306	-0.295436	0.052194	0.170711	0.174718	0.227989	0.044348	0.114641	0.108621	-0.538009	-0.380669	-0.433891	-0.108584	-0.097203	0.051613	0.811843	0.825028	0.339692	0.283325	0.348835	0.055961	0.030069	0.14978	0.202984	1.092544	0.256146	0.147932	0.237996	0.24511	0.220951	0.549099	0.140673
YGR107W	0.277489	0.460893	0.316096	0.286975	0.071582	0.025117	0.026866	-0.13981	-0.300307	0.388385	-0.770261	-0.197087	0.161121	-0.286801	0.137802	-0.19925	0.247402	-0.299013	0.312022	-0.063547	-1.092723	-0.438492	0.010352	0.154896	-0.632918	0.392485	0.113218	-0.072816	0.213823	0.560557	0.016704	0.170046	-0.132807	0.100181	-0.810169	-0.592391	-0.369086	-0.049159	0.098257	0.246714	-0.060179	0.39021	0.232657	0.003329	0.029713	0.054509	-0.05245	0.027492
YGR225W	0.143386	0.123899	0.068031	0.210699	0.18627	-0.080047	0.230446	0.259867	0.008833	-0.142543	0.560557	0.002763	-0.00469	-0.047633	-0.408831	-0.087959	-0.01987	-0.244329	-0.067484	-0.218577	-0.332152	0.126816	-0.154362	-0.599378	0.276069	0.06216	0.146236	-0.150653	0.003547	-0.146997	-0.055017	0.304217	0.198897	0.133181	0.090732	0.114107	0.097408	0.020686	-0.080432	-0.196557	0.103218	-0.174489	-0.021251	0.085822	-0.331655	0.249097	1.925833	0.017468
YHR138C	-0.97819	-0.925195	-0.558934	-0.290323	-0.533346	-0.354077	-0.064664	-0.180772	-0.353565	-0.118103	-0.023388	-0.320728	-0.082457	0.205928	0.377864	-0.137182	0.044719	-0.201523	-0.354966	0.016539	-0.329875	-0.153349	-0.344576	-0.126655	-1.174979	-0.971339	-0.805946	-0.529396	-0.378258	-0.193085	-0.194522	-0.433891	-0.52413	-0.287383	0.289652	-0.02738	0.174958	-0.149153	0.074568	0.47572	0.050332	-0.059064	-0.249213	0.06332	-0.48461	-0.471285	-0.256291	-0.078502
YJL028W	-0.027177	-0.276692	0.452014	0.221884	-0.240277	-0.619326	-0.218234	-0.201197	-0.296294	0.848826	0.262731	-0.038231	-0.018174	0.016136	0.205097	-0.56953	-0.224261	0.632955	0.553288	-0.185138	0.148761	-0.11092	0.844295	-0.131644	0.780251	0.284452	0.01712	0.5142	0.185099	0.132699	0.075806	-0.045527	-0.135038	0.039626	-0.630653	0.363268	-0.052589	0.278648	0.295554	-0.275391	0.126561	-0.19606	-0.055187	0.100369	0.220069	-0.239933	-0.201523	-0.121598
YOR204W	0.460893	0.380595	0.97404	0.831276	0.765515	0.465692	0.609875	0.603725	0.74777	0.470414	0.516542	0.577723	0.506295	0.411652	0.625949	0.547861	0.492372	0.323335	0.412267	0.121444	0.151719	1.37943	1.667005	0.914259	1.054135	0.47572	1.010631	0.74491	0.694223	0.562091	0.550268	0.438876	0.544122	0.326378	0.506295	0.405124	0.441182	0.492372	0.491233	0.351312	0.271521	0.332724	0.151965	0.147704	0.74777	1.306367	1.474821	1.074287
YAR075W	0.249382	0.070535	0.005851	-0.130271	-0.172757	-0.184671	-0.238517	-0.575788	-0.810169	-0.649765	-0.518281	-0.687626	-0.236461	0.091325	0.003329	0.34212	0.257793	0.273479	0.455476	0.343424	0.174495	0.052759	-0.157893	-0.070395	0.115132	0.085822	0.096955	-0.050772	-0.250865	-0.279854	-0.322845	-0.304241	-0.562131	-0.865021	-0.550115	-0.572669	-0.204238	-0.092061	0.039318	0.08624	0.350274	0.422065	0.397616	0.471571	0.099422	-0.266505	-0.069183	-0.037855
YDR512C	-0.331216	-0.216248	-0.181052	-0.314997	-0.260365	0.022369	-0.060047	0.142584	-0.010926	-1.978077	-0.010926	-0.299013	-0.313742	-0.409967	-0.474675	-0.417046	-0.499053	-0.312861	-0.319738	-0.222933	-0.038729	-0.577489	-0.673354	-0.196557	-0.409366	-0.174489	-0.387827	-0.224816	-0.357741	-0.048025	-0.05245	0.103468	-0.058047	0.105719	-0.085721	0.088998	-0.278813	-0.436818	-0.678152	-0.628649	-0.544069	-0.456696	-0.269601	-0.192266	-0.210785	-0.831188	-0.773787	-0.724019
YGR245C	0.389673	0.286235	0.440411	0.442722	0.478458	1.207415	0.353358	0.306162	-0.067857	0.07437	0.210954	0.074732	0.405124	0.733441	0.825028	0.707672	0.968228	0.690777	0.889622	0.490124	0.644358	-0.096087	0.206701	0.510777	0.14001	0.068197	0.5142	0.725257	0.603725	0.286975	0.342597	0.196657	0.063712	0.232043	0.077306	0.302645	0.465692	0.907566	1.195862	1.250893	1.222245	0.678016	0.798244	0.639539	0.247107	0.331313	0.36601	0.727621
YHR030C	-0.641583	-0.86981	-0.434509	-0.271623	0.029898	0.001134	-0.05113	0.115506	0.184221	0.217405	0.393155	0.360248	0.377274	0.251725	0.058575	-0.123648	-0.218234	-0.256959	-0.125413	0.031928	0.448934	0.390819	0.220319	0.206993	-0.375609	-0.893716	-0.412069	-0.221348	-0.068018	0.142847	0.054302	0.180547	0.305428	0.18627	0.458121	0.115506	0.280143	0.269309	-0.302991	-0.557682	-0.567715	-0.306241	-0.219822	0.028087	0.17196	0.336962	0.422065	-0.023011
YMR226C	-0.691667	-0.76317	-0.571078	-0.383507	-0.384387	-0.429327	-0.352615	-0.359193	0.032911	0.228618	0.202984	0.302645	0.05354	0.070321	-0.012329	0.024503	-0.395489	0.167272	0.048946	0.193442	0.4302	-0.335242	-0.095745	-0.213214	-0.757753	-0.612522	-0.705899	-0.502151	-0.412069	-0.492447	-0.407413	-0.278813	-0.333065	0.067292	0.608359	0.228292	0.213529	0.378424	0.20564	0.382116	0.092467	-0.057691	-0.068964	-0.048924	0.015337	-0.24717	-0.303722	-0.253613
YDL151C	0.115992	0.140244	0.177427	0.017681	0.036297	-0.164025	0.182215	-0.202827	-0.084574	-0.129532	0.096757	-0.204508	-0.770261	-0.185388	-0.163763	0.088573	0.199187	-0.189893	0.162643	0.109565	-0.11654	-1.163185	-0.276257	0.12437	-0.033212	0.160506	0.002137	0.314619	0.526037	0.225176	0.123191	-0.282496	-0.371559	-0.152211	0.211247	0.008115	-0.337173	-0.369527	-0.215942	-0.230476	-0.226097	0.123899	-0.102105	-1.10353	0.26658	-0.76038	-0.585625	-0.528463
